andar;anunciante;anuncio;area;atualizacao;bairro;banheiro;caracteristica;cep;codigo;condominio;data;descricao;endereco;imagem;imagemlista;y;x;municipio;preco;quarto;siteorigem;suite;telefone;tipologia;titulo;uf;url;urlmapa;vaga
;;COD. 72;;;Vargem do Bom Jesus;;;;77325425;;04/05/2019; Com área total de 180,00m², localizado próximo a Rua Fabriciano Inácio Monteiro, Vargem do Bom Jesus, sendo 10 metros de frente por 18 metros de fundos, próximo a Rodovia SC 403. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/5beca88df4d4dc7498701a304ecfb9ef.jpg;-27.450.642;-48.431.965;Florianópolis;80000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-do-bom-jesus-bairros-florianopolis-180m2-venda-RS80000-id-77325425/;https://www.google.com/maps/search/?api=1&query=-27.450642,-48.431965;
;;COD. 17597;;;Ingleses do Rio Vermelho;;;;2442479280;;04/05/2019; Terreno com 432 m², plano, com viabilidade para 2 pavimentos.  Próximo a praia do Santinho. ;Estrada Vereador Onildo Lemos, 1287;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2ba51534c0d84893fb65a74199ff52e5.jpg;-27.454.307;-48.380.553;Florianópolis;480000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-432m2-venda-RS480000-id-2442479280/;https://www.google.com/maps/search/?api=1&query=-27.454307,-48.380553;
;;COD. HI71600;;;Pântano do Sul;;;;1894395485;;04/05/2019; Lindo terreno com 1.952,46m² de área total, todo cercado, Escritura Pública, viabilidade multifamiliar e unifamiliar possibilitando a construção de Pousada, Hotel ou residências de alto padrão, possui luz e IPTU individualizados, água natural de nascentes, dois poços de água potável, muito verde e árvores frutíferas, localizado em região privilegiada na praia do Pântano do Sul com ótima vizinhança, comércios, trilhas e fácil acesso às demais praias do Sul da Ilha. Ideal para quem procura viver junto à natureza com muita tranquilidade em uma das praias mais lindas da Ilha! Agende hoje mesmo sua visita! Contato: /  Willyan Zuchetti CRECI - 32749 Outras oportunidades acesse: www.hotimobiliaria.com.br ;Rodovia Rozália Paulina Ferreira, 2695;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/c600147e52a64c9f6aadea42d5a97835.jpg;-27.770.581;-48.531.438;Florianópolis;490000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-pantano-do-sul-bairros-florianopolis-1952m2-venda-RS490000-id-1894395485/;https://www.google.com/maps/search/?api=1&query=-27.770581,-48.531438;
;;COD. HI1282;950;;Lagoa da Conceição;;;;1042021413;;04/05/2019; Lindo terreno com Escritura Pública e 950m² de área total, localizado em região privilegiada dentro de Condomínio fechado no Poto da Lagoa, próximo de tudo que você e sua família precisam, ficando à 2km do centrinho Lagoa da Conceição, além do fácil acesso às lindas praias do Leste e Sul da Ilha, Aeroporto e Centro da cidade. Ideal para quem procura viver com segurança e tranquilidade em um bairro rodeado por natureza! Condomínio dispõe de playground e área verde. Agende hoje mesmo sua visita! Contato: /  Outras oportunidades acesse: www.hotimovel.com.br ;Rua Vereador Osni Ortiga, 1;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/4288251b017a2973d525c071b92c9988.jpg;-27.606.754;-48.462.024;Florianópolis;990000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-lagoa-da-conceicao-bairros-florianopolis-950m2-venda-RS990000-id-1042021413/;https://www.google.com/maps/search/?api=1&query=-27.606754,-48.462024;
;;COD. 7924;;;Vargem Grande;;;;51176209;;04/05/2019; Terreno com 624m² Plano, água encanada. AO LADO MATERIAL CONTRUCAO FRANSOUZA, 2KM DO MAR. ;Rodovia José Carlos Daux;;;-27.494.454;-48.505.468;Florianópolis;490000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-624m2-venda-RS490000-id-51176209/;https://www.google.com/maps/search/?api=1&query=-27.494454,-48.505468;
;;COD. 29-IM376639;392;;São João do Rio Vermelho;;;;2440744198;;04/05/2019; Sua vida frente para o mar. Excelente Condomínio Residencial com toda uma infraestrutura de alto padrão. Tecnologia - Infraestrutura Guarita c/portaria 24 horas Infraestrutura para internet banda larga Intraestrutura pronta para TV a cabo e telefonia externa. Medidor individual de água Medidor individual de gás Portão automatizado e porteiro eletronico Sistema de combate e prevenção a incêndio Sistema de interfones para comunicação interna no condominio (PAX) Tubulação subterrânea para tv a cabo, telefone, internet e vigilância eletrônica 3) Lazer Salão de Festas com Terraço e Churrasqueira Campo de Futebol Churrasqueiras Deck molhado Ecogym (Pista de Cooper e Caminhada) Fitness Gazebos com Churrasqueiras Jardim Pergolado Piscina adulto com raia Piscina Infantil Piscina Raiada Aquecida Pista de Caminhada Playground Quadra de tênis Quadra Poliesportiva Quiosque com Churrasqueira Salao de Festas com Espaco Gourmet Salão de jogos Sauna seca com ducha e sala de descanso Spa ;Rua Candido Pereira dos Anjos;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/0bbc3231f1ddcebbfa66333fc1efb080.jpg;-27.485.006;-48.411.267;Florianópolis;238928;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-sao-joao-do-rio-vermelho-bairros-florianopolis-392m2-venda-RS238928-id-2440744198/;https://www.google.com/maps/search/?api=1&query=-27.485006,-48.411267;
;;COD. 347;;;Canasvieiras;;;;82597948;;04/05/2019; Excelente terreno plano, com viabilidade residencial com 370,00m² de área com escritura pública, , em Canasvierias, próximo ao Colégio Osmar Cunha. ;;;;-27.543.676;-48.500.374;Florianópolis;215000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-canasvieiras-bairros-florianopolis-370m2-venda-RS215000-id-82597948/;https://www.google.com/maps/search/?api=1&query=-27.543676,-48.500374;
;;COD. 8037;;;Santo Antônio de Lisboa;;;;90513196;;04/05/2019; Terreno à venda em Santo Antônio de Lisboa, Florianópolis, SC. Um bairro riquíssimo em qualidade de vida, tranquilidade, ótima gastronomia, com mais de 30 restaurantes a beira mar e o pôr do sol mais lindo da ilha. Indescritível a sensação de estar neste paraíso. O Recanto de Santo Antônio proporciona viver em meio a natureza, com a segurança de um bairro tranquilo. Terrenos de 606m² à 2.026m², a uma quadra da SC 401, próximo do terminal de Santo Antônio de Lisboa e das praia do norte da ilha. Aceita financiamento bancário. Nossos corretores estão de plantão 24 horas. Agende sua visita e conheça seu novo imóvel! Temos diversos imóveis para atender a sua expectativa, encontrando a melhor opção para o seu perfil. Visite nosso facebook e fique por dentro de um conteúdo atual sobre imóveis e o mercado imobiliário. ;Rua Teodoro Manoel Dias;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/2841c8666b9c17d658f9e4c6a736d875.jpg;-27.504.824;-4.851.193;Florianópolis;579336;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-724m2-venda-RS579336-id-90513196/;https://www.google.com/maps/search/?api=1&query=-27.504824,-48.51193;
;;COD. 1748;;;Ribeirão da Ilha;;;;2437563791;;04/05/2019; Excelente terreno com vista maravilhosa na Caiacanga / Ribeirão da Ilha!  Área de 576 m² (24x24), no alto de rua calçada , tranquila, com ótima vizinhança, próximo à Marina Ribeirão da Ilha, em região privilegiada do bairro com vista mar de 180° !!!  A freguesia do Ribeirão é um dos lugares mais bonitos da ilha! Ao longo de sua costa, a produção de ostras em fazendas marinhas, o charme do centrinho histórico do bairro e sua via gastronômica, conferem charme e autenticidade a um dos bairros mais charmosos e belos de Florianópolis!  Que tal construir a casa do seus sonhos neste lugar paradisíaco? ;Servidão Natividade;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/a088bd5bbadcbd9b6106eee306774b0a.jpg;-27.763.575;-48.572.023;Florianópolis;295000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ribeirao-da-ilha-bairros-florianopolis-576m2-venda-RS295000-id-2437563791/;https://www.google.com/maps/search/?api=1&query=-27.763575,-48.572023;
;;COD. 1773;;;Córrego Grande;;;;2434918090;;04/05/2019; Localizado em área nobre. Com vista panorâmica. Projeto aprovado de casa. Terreno com 737,13m2 Todo murado Pronto pra construir. Condomínio fechado de alto padrão. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/5bf2bffbe2f9222ed4b26e848d22cfd5.jpg;-27.593.609;-4.850.274;Florianópolis;900000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-corrego-grande-bairros-florianopolis-1134m2-venda-RS900000-id-2434918090/;https://www.google.com/maps/search/?api=1&query=-27.593609,-48.50274;
;;COD. 7096;;;Santo Antônio de Lisboa;;;;90940158;;04/05/2019; Terreno com 10.000 m² (dez mil metros quadrados), com frente para sc 401 (rodovia josé carlos daux), viabilidade multifamiliar e comercial, com potencial construtivo, de aproximadamente 18.000m² (dezoito mil metros quadrados). ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/b2807801cdbbded84037351c0f967f95.jpg;-27.514.577;-48.513.236;Florianópolis;7000000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santo-antonio-de-lisboa-bairros-florianopolis-10000m2-venda-RS7000000-id-90940158/;https://www.google.com/maps/search/?api=1&query=-27.514577,-48.513236;
;;COD. 6852;;;Vargem Grande;;;;89487973;;04/05/2019; Terreno à venda no bairro Vargem Grande, Florianópolis SC. De 13.000 m2, área com dois platores na parte alta, com fácil acesso, um verdadeiro paraíso, ótimo para se ter uma chácara, um Aras, ou uma pousada, região de pouca urbanização, com vários sítios e chácaras, acesso ao Rio vermelho, próximo a Fabrica da Cervejaria Kairós, com fonte de água natural, com um rio de águas limpas e claras, com estradas e com algumas infraestruturas que já foram feitas no terreno como terraplanagem e estradas de acesso ao terreno, 100 mts de frente.    Necessita-se de alguns cuidados e revitalização. Uma área nobre, escondida e próxima de tudo, dentro da cidade, com grande potencial para investidores e/ou para se realizar o sonho de ter uma chácara dentro da cidade.    Não perca essa oportunidade, marque uma visita sem compromisso.    Aqui você encontra os melhores imóveis!!!!    www.smolkaimoveis.com.br ;Estrada Cristóvão Machado de Campos;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/3d4161ce195f5dfec793f2758b84fc1c.jpg;-27.461.484;-48.449.788;Florianópolis;600000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-13000m2-venda-RS600000-id-89487973/;https://www.google.com/maps/search/?api=1&query=-27.461484,-48.449788;
;;COD. 416;;;Cachoeira do Bom Jesus;;;;90887639;;04/05/2019; Magnifica oferta ,Oliveira Costa empreendimentos imobiliários conta com o maior cadastro de imóveis a venda do norte da ilha . Ótimo terreno em condomínio na cachoeira do bom jesus com 500 m² por 20x25 bem localizado e com escritura pública. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/e6113e086aeef26b0d49fa5464ccf8dd.jpg;-27.434.823;-48.421.953;Florianópolis;215000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cachoeira-do-bom-jesus-bairros-florianopolis-500m2-venda-RS215000-id-90887639/;https://www.google.com/maps/search/?api=1&query=-27.434823,-48.421953;
;;COD. HI71753;;;Campeche;;;;2435115573;;04/05/2019; Excelente terreno todo murado com 452,25m² de área total, localizado em região privilegiada no Campeche, próximo ao comércio local, das lindas praias do Sul da Ilha, além do fácil acesso ao Aeroporto e Centro da cidade. Ideal para quem procura investir em local com grande valorização, rodeado por natureza e a poucos metros do mar! Agende hoje mesmo sua visita! Contato: /  Leandro Nonohay CRECI - 10082 Outras oportunidades acesse: www.hotimobiliaria.com.br ;Servidão Dona Vitorina Lopes, 852;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ce19b1967d18f267179e413e0bf53ce6.jpg;-27.701.779;-48.504.975;Florianópolis;320000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-452m2-venda-RS320000-id-2435115573/;https://www.google.com/maps/search/?api=1&query=-27.701779,-48.504975;
;;COD. HI71601;;;Campeche;;;;1894415480;;04/05/2019; Excelente terreno com Escritura Pública e viabilidade residencial , 464m² sendo 32m de frente por 14,50m de fundos, localizado em Condomínio fechado de alto padrão com vista mar, próximo ao comércio local e com fácil acesso às demais praias do Sul do Ilha, Aeroporto e Centro da cidade. Ideal para quem procura viver com tranquilidade e segurança em região nobre no Campeche, uma das praias mais valorizadas e procuradas da Ilha! Agende hoje mesmo sua visita! Contato: /  Outras oportunidades acesse: www.hotimobiliaria.com.br ;Rua Pau de Canela, 300;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ca9ad2b701696fc46a7d3180845f0823.jpg;-27.662.447;-484.922;Florianópolis;760000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-campeche-bairros-florianopolis-464m2-venda-RS760000-id-1894415480/;https://www.google.com/maps/search/?api=1&query=-27.662447,-48.4922;
;;COD. 3750D;;;Ratones;;;;2430722630;;04/05/2019; Terreno com 20.094m² de área na Estrada Geral de Ratones, Florianópolis/SC. Uma casa com 2 dormitórios, sala, cozinha, bwc, piscina e play ground. ;Rua Intendente Antônio Damasco, 1679;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/ab30ead5b8099bf1a6bb9cde37179cc5.jpg;-27.499.037;-48.491.912;Florianópolis;3500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ratones-bairros-florianopolis-20094m2-venda-RS3500000-id-2430722630/;https://www.google.com/maps/search/?api=1&query=-27.499037,-48.491912;
;;COD. 72;;;Vargem do Bom Jesus;;;;77325425;;04/05/2019; Com área total de 180,00m², localizado próximo a Rua Fabriciano Inácio Monteiro, Vargem do Bom Jesus, sendo 10 metros de frente por 18 metros de fundos, próximo a Rodovia SC 403. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/5beca88df4d4dc7498701a304ecfb9ef.jpg;-27.450.642;-48.431.965;Florianópolis;80000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-do-bom-jesus-bairros-florianopolis-180m2-venda-RS80000-id-77325425/;https://www.google.com/maps/search/?api=1&query=-27.450642,-48.431965;
;;COD. 7658;;;Capoeiras;;;;2431170875;;04/05/2019; Excelente terreno com 600 m², sendo 24 m² frente e fundos e 25,6 m² nas laterais. Em excelente localização em Capoeiras, junto a Av. Santos Saraiva e Ivo Silveira. Fica a cinco minutos do Centro de Florianópolis. Terreno plano e ótimo para verticalização. A Dalton Andrade Imóveis está há 30 anos no mercado imobiliário da Grande Florianópolis, com unidades no Centro, Trindade e Cachoeira do Bom Jesus.  Com ampla experiência em vendas, locação e administração de imóveis, comerciais e residenciais, a Dalton Andrade Imóveis baseia seu trabalho em três pilares: confiança, transparência e credibilidade.  Sempre em constante aperfeiçoamento e atualização, acreditamos que o desenvolvimento de nossos colaboradores é fundamental para melhor atender nossos clientes.  Dalton Andrade Imóveis, a sua garantia imobiliária! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6f0cc31fa97d69c1e3a1ee15af85ecff.jpg;-27.597.518;-48.586.018;Florianópolis;650000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-capoeiras-bairros-florianopolis-600m2-venda-RS650000-id-2431170875/;https://www.google.com/maps/search/?api=1&query=-27.597518,-48.586018;
;;COD. 422;;;Ratones;;;;90887733;;04/05/2019; Magnifica oferta, Oliveira Costa empreendimentos imobiliários conta com o maior cadastro de imóveis a venda do norte da ilha . Ótimo sítio em ratones de uma área total 42 mil metros quadrados com casa, engenho de farinha, Lagoa. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/d888df308f388ed5fa9aba9b35423031.jpg;-2.750.636;-48.491.919;Florianópolis;4200000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ratones-bairros-florianopolis-42000m2-venda-RS4200000-id-90887733/;https://www.google.com/maps/search/?api=1&query=-27.50636,-48.491919;
;;COD. 7185;;;Ratones;;;;1041328744;;04/05/2019; Terreno com 36.000 m² (trinta e seis mil metros quadrados), com frente para estrada Intendente Antonio Damasco nº 2254, com viabilidade e potencial para loteamento. Fotos meramente ilustrativas. A Dalton Andrade Imóveis está há 30 anos no mercado imobiliário da grande Florianópolis, com unidades no centro, trindade e cachoeira do bom jesus. com ampla experiência em vendas, locação e administração de imóveis, comerciais e residenciais, a Dalton Andrade Imóveis baseia seu trabalho em três pilares: confiança, transparência e credibilidade. sempre em constante aperfeiçoamento e atualização, acreditamos que o desenvolvimento de nossos colaboradores é fundamental para melhor atender nossos clientes. Dalton Andrade Imóveis, a sua garantia imobiliária! ;;;;-27.503.276;-48.492.279;Florianópolis;3500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ratones-bairros-florianopolis-36000m2-venda-RS3500000-id-1041328744/;https://www.google.com/maps/search/?api=1&query=-27.503276,-48.492279;
;;COD. 254662;6000;;Cacupé;;;;90679593;;04/05/2019; Terreno com 6.000 m², com viabilidade residencial e comercial próximo do SESC, em Cacupé. Venha conhecer esse espaçosa Comercial de 6000,00m². Agende sua visita! ;Estrada Haroldo Soares Glavan;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/6448ff9da06f5ca93c0ba9df9c4534b3.jpg;-27.530.651;-48.524.336;Florianópolis;8500000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-cacupe-bairros-florianopolis-6000m2-venda-RS8500000-id-90679593/;https://www.google.com/maps/search/?api=1&query=-27.530651,-48.524336;
;;COD. 7212;;;Itaguaçu;;;;1041328679;;04/05/2019; Terreno em Itaguaçú com 180,38m², vista para o mar, próximo a praia das Palmeiras , Bom Abrigo e Coqueiros.Terreno plano com rede de esgoto , rua calçada e escritura definitiva. A Dalton Andrade Imóveis está há 30 anos no mercado imobiliário da Grande Florianópolis, com unidades no Centro, Trindade e Cachoeira do Bom Jesus. Com ampla experiência em Vendas, Locação e administração de imóveis, comerciais e residenciais, a Dalton Andrade Imóveis baseia seu trabalho em três pilares: Confiança, Transparência e Credibilidade. Sempre em constante aperfeiçoamento e atualização, acreditamos que o desenvolvimento de nossos colaboradores é fundamental para melhor atender nossos clientes. Dalton Andrade Imóveis, a sua garantia imobiliária! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/16cf61b8f6fa771b55b6acae18c48084.jpg;-27.615.278;-48.595.206;Florianópolis;280000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-itaguacu-bairros-florianopolis-180m2-venda-RS280000-id-1041328679/;https://www.google.com/maps/search/?api=1&query=-27.615278,-48.595206;
;;COD. 1075;;;Vargem Grande;;;;1040225146;;04/05/2019; Excelente terreno plano em codomínio fechado com água , luz, quiosque com churrasqueira , piscina , parque infantil, guarita e com escritura Pública.  Próximo de escolas públicas e Particulares , comércio , ônibus . Fácil acesso para as praias de Canasvieiras , Cachoeira do Bom Jesus , Ingleses e do Sapiens Park. Terreno com Escritura Pública. Aceita Financiamento Bancário. Ingleses O bairro Ingleses está localizado no norte da Ilha de Santa Catarina. Distante 32,9 km do centro de Florianópolis, é um dos balneários com a maior infraestrutura urbana da região. Sua área abrange 20,47 km² e engloba desde as praias do Santinho e Ingleses até a localidade mais afastadas da orla, chamada de Sítio do Capivari. Dentre todas os balneários de Florianópolis, Ingleses é o que possui a maior população residente, superior a 25 mil habitantes fixos. Durante os meses de férias e veraneio, esse número ultrapassa os 50 mil habitantes. O acesso ao bairro pode ser feito pela via principal, rodovia SC-401 e depois pela SC-403, ou pela Rod SC 406, através do Rio Vermelho.  Ao longo da porção final da SC-403, próximo à praia, fica localizado o Centrinho dos Ingleses. É no bairro dos Ingleses que está localizada a Praia do Santinho, onde fica o mais completo complexo turístico da região, o Costão do Santinho Resort , que mescla condomínio de casas de alto luxo a um campo de golf. Agende uma visita! ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/40408f97059b32f028a92ba65efd4c83.jpg;-27.461.484;-48.449.788;Florianópolis;200000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-vargem-grande-bairros-florianopolis-387m2-venda-RS200000-id-1040225146/;https://www.google.com/maps/search/?api=1&query=-27.461484,-48.449788;
;;COD. TE0002;845;;Rio Tavares;;;;2437839592;;04/05/2019; Terreno em um excelente ponto comercial na Rodovia SC 405, medindo 13 X 65 no total de 845 metros quadrados, imóvel apropriado tanto para construir loja, depósito ou montar um empreendimento comercial. Estuda-se permuta em um outro imóvel. * Imóvel não financiável *Preço sujeito a alteração - ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/dc8eae7383076ffd4ba3bcba27efda3e.jpg;-27.689.997;-48.510.016;Florianópolis;689000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-rio-tavares-bairros-florianopolis-845m2-venda-RS689000-id-2437839592/;https://www.google.com/maps/search/?api=1&query=-27.689997,-48.510016;
;;COD. 1245;;;Ingleses do Rio Vermelho;;;;2429132031;;04/05/2019; Pra quem esta a procura de terreno para construção, perto de comércio mas em lugar tranquilo, este terreno é excelente.   bem localizado, entre a Rua João Gualberto e Estrada Dario Manuel  Cardoso. Terreno Plano com muro em 2 lados. Frente de 20 metros, ideal para prédio e sobrados. Aceita proposta. Terreno sem escritura, não pode ser financiado .  aceita proposta. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/f7573f4fad6b450b25ae5e48436f24e6.jpg;-27.451.728;-4.840.081;Florianópolis;178000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-360m2-venda-RS178000-id-2429132031/;https://www.google.com/maps/search/?api=1&query=-27.451728,-48.40081;
;;COD. 701;;;Trindade;;;;2433599773;;04/05/2019; Ótimo Terreno em condomínio fechado unifamiliar com 832 metros quadrados, pronto para construir, na Trindade próximo a Lauro Linhares, ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/f4d1471ab9454b16940460831c9e53f8.jpg;-27.534.077;-48.500.881;Florianópolis;580000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-trindade-bairros-florianopolis-832m2-venda-RS580000-id-2433599773/;https://www.google.com/maps/search/?api=1&query=-27.534077,-48.500881;
;;COD. 826;;;Ingleses do Rio Vermelho;;;;1038622497;;04/05/2019; LOTEAMENTO RES. DELLA GIUSTINA -  Terreno plano e viabilidade unifamiliar em rua asfaltada e excelente região na área nobre da praia. Local em constante valorização e com casas de alto padrão. O lote fica aproximadamente á 700m da praia e 700m do centrinho de Ingleses e dispõe de canteiros arborizados ao redor.  Área total: 950m². Local tranquilo e de fácil acesso pela Rua Luis Elias Daux, Rua do Marisco e Av. Internacional. ESCRITURA PÚBLICA com possibilidade financiamento bancário. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/67a178ccb73973f80f2967232df92153.jpg;-27.432.436;-48.401.572;Florianópolis;999000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-950m2-venda-RS999000-id-1038622497/;https://www.google.com/maps/search/?api=1&query=-27.432436,-48.401572;
;;COD. 644;;;Ingleses do Rio Vermelho;;;;1037921377;;04/05/2019; Praia dos Ingleses - Ótimos lotes para investimento, plano, murado em rua calçada, com 04 lotes, 3 com 660 m² e um de 965,70 m² de área total, com viabilidade para prédio, a 100 m do mar em área nobre da Praia de Ingleses. Escritura Pública, pagamento a vista, aceita propostas. PRAIA DOS INGLESES ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/bd3ae976eeab7c427f64bb78c05c3687.jpg;-27.425.866;-48.401.293;Florianópolis;3829410;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-ingleses-do-rio-vermelho-bairros-florianopolis-2946m2-venda-RS3829410-id-1037921377/;https://www.google.com/maps/search/?api=1&query=-27.425866,-48.401293;
;;COD. 371;;;Santa Mônica;;;;83407528;;04/05/2019; Belo terreno no bairro Santa Mônica com 360 metros quadrados de esquina, plano, imóveis comercias na rua, calçamento, e sendo em excelente próximo do posto de gasolina da Madre Ben Venuta. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/83c4724c5a10a7a466e3eaeae3c97e59.jpg;-27.588.928;-48.509.683;Florianópolis;750000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santa-monica-bairros-florianopolis-360m2-venda-RS750000-id-83407528/;https://www.google.com/maps/search/?api=1&query=-27.588928,-48.509683;
;;COD. 401;906;;Joao Paulo;;;;91706067;;04/05/2019;   Faculdade, Farmácia, Feiras, Hospital, Mercado, Panificadora, Praia, Praça/Parque, Ponto de circular, Pizzaria, Shopping, .   Terreno plano no Pico do Morro, com linda vista para o mar com segurança e monitoramento 24 horas no condomínio, localizado a 3 minutos do Hotel Maria do Mar e a 5 minutos do Floripa shopping.Terreno plano com escritura pública (pode financiar) com linda vista panorâmica para o mar, com segurança e monitoramento 24 horas no condomínio, localizado a 3 minutos do Hotel Maria do Mar e a 5 minutos do Floripa shopping. O Bairro João Paulo tem se valorizado muito em função de três grandes diferencias que são: 1  Segurança (único bairro da ilha com apenas 01 via de acesso com 1 entrada em cada ponta) 2  Localização (o meio termo, a distância ideal, porque está entre a Beira Mar e Jurerê Internacional) 3  Valorização (o bairro que mais se valorizou nos últimos 10 anos em Florianópolis). ;Rua Professor Salvio Guilhon Gonzaga, 50;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/cb0423c94fb64c2b7ce7aed192386d3a.jpg;-27.554.687;-48.506.948;Florianópolis;990000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-joao-paulo-bairros-florianopolis-906m2-venda-RS990000-id-91706067/;https://www.google.com/maps/search/?api=1&query=-27.554687,-48.506948;
;;COD. 754;;;Santinho;;;;1037921278;;04/05/2019; PERFEITO PARA TODOS OS ESTILOS. ESPECIALMENTE O SEU. Um empreendimento totalmente exclusivo, com apenas 20 lotes em um dos lugares mais tranquilos de Florianópolis. 20 terrenos exclusivos a partir de 450 m², pronto para construir, com acesso à Praia, Piscina Adulto e Infantil, Espaço Gourmet, Espaço Fitness, Zeladoria, Energia Subterrânea, Estação de Tratamento de Esgoto, Pavimentação em Paver. Conhecer o Santinho é uma experiência única. Localizado ao norte da Ilha de Florianópolis, a 40 minutos do centro, o local é famoso por seus 2 km de praia com ondas ótimas para o surf e grande extensão de areia, com trechos de até 120 metros de largura. POSSUI ESCRITURA PÚBLICA COM POSSIBILIDADE DE FINANCIAMENTO BANCÁRIO. ;;;https://resizedimgs.vivareal.com/fit-in/870x653/vr.images.sp/849775c20048d004db19b7ad6602e40f.jpg;-27.459.512;-48.381.354;Florianópolis;520000;;Viva Real;;;Venda ;;SC;http://www.vivareal.com.br/imovel/lote-terreno-santinho-bairros-florianopolis-473m2-venda-RS520000-id-1037921278/;https://www.google.com/maps/search/?api=1&query=-27.459512,-48.381354;
